SMD_site,wc2.0_bio_30s_01,wc2.0_bio_30s_02,wc2.0_bio_30s_03,wc2.0_bio_30s_04,wc2.0_bio_30s_05,wc2.0_bio_30s_06,wc2.0_bio_30s_07,wc2.0_bio_30s_08,wc2.0_bio_30s_09,wc2.0_bio_30s_10,wc2.0_bio_30s_11,wc2.0_bio_30s_12,wc2.0_bio_30s_13,wc2.0_bio_30s_14,wc2.0_bio_30s_15,wc2.0_bio_30s_16,wc2.0_bio_30s_17,wc2.0_bio_30s_18,wc2.0_bio_30s_19
GD1,22.96250006,7.14166681,34.83739907,502.1278677,33,12.5,20.5,27.64999994,17.7166667,28.36666679,16.19999997,2234,388,28,76.1157361,1043,116,1031,127
GD2,22.25000012,7.633333286,33.77581043,566.4281958,33.20000076,10.60000038,22.60000038,27.45000013,16.45000029,28.41666698,14.76666689,1718,278,35,66.79934997,790,116,753,139
GD3,21.26250013,9.024999936,35.53149368,610.9126195,33.90000153,8.5,25.40000153,24.63333352,18.36666663,28.10000038,13.2833333,1815,330,32,66.18059328,857,131,694,185
JX1,19.19166654,8.316666563,28.28798279,770.7399833,33.59999847,4.199999809,29.39999866,23.26666657,11.05000019,28.0833327,9.233333349,1454,230,40,51.63303221,615,156,425,212
JX2,18.51249985,8.741666396,27.57623527,826.9855476,34.29999924,2.599999905,31.69999933,22.75,9.799999952,28.24999968,7.966666698,1510,231,45,50.90796043,656,173,455,217
JX3,17.97916671,8.258333594,25.80729123,859.813577,33.90000153,1.899999976,32.00000155,22.26666673,9.066666583,28.20000045,7.116666575,1539,246,44,54.05312645,695,170,488,204
JX4,17.89583338,7.858333011,24.71173962,867.7988343,33.79999924,2,31.79999924,22.03333346,13.71666662,28.16666667,6.933333278,1589,296,43,60.88338807,747,168,564,207
JX5,17.34166676,8.133333395,25.02564002,891.0663567,33.40000153,0.899999976,32.50000155,21.58333333,8.233333449,27.95000045,6.033333401,1430,226,42,50.25219043,612,163,489,180
AH1,16.72916664,9.091666435,27.63424385,889.3855262,33.70000076,0.800000012,32.90000075,27.51666641,5.816666732,27.51666641,5.816666732,1477,284,30,57.04491053,612,128,612,128
AH2,15.88749999,9.30833328,26.98067673,930.4449769,33.29999924,-1.200000048,34.49999928,27.03333346,4.166666582,27.03333346,4.166666582,1103,186,27,55.66880908,495,104,495,104
AH3,15.575,9.516666902,27.03598438,939.7835824,32.90000153,-2.299999952,35.20000148,26.86666648,3.583333228,26.86666648,3.583333228,875,185,20,64.5253321,415,75,415,75
SD1,14.73333321,10.73333331,28.32013952,997.7527656,32.90000153,-5,37.90000153,26.64999994,1.933333437,26.64999994,1.933333437,681,183,14,94.03011957,413,49,413,49
SD2,14.40833331,10.66666665,28.1442391,1003.276075,32.5,-5.400000095,37.9000001,26.30000019,1.466666659,26.30000019,1.466666659,702,197,12,99.01453818,439,43,439,43
SD3,14.15416667,11.35833317,29.04944658,1023.175666,32.59999847,-6.5,39.09999847,26.26666673,0.950000087,26.26666673,0.950000087,692,203,10,103.2221769,430,32,430,32
S7,16.61249983,12.72499983,54.84913763,387.7682251,27.39999962,4.199999809,23.19999981,20.71666638,13.16666667,20.71666638,11.46666662,770,179,6,100.4613572,471,21,471,23
S8,22.66250022,11.54166698,51.06932208,374.4033157,33.20000076,10.60000038,22.60000038,26.71666686,17.98333359,27.26666705,17.98333359,1074,150,22,43.45302351,407,123,359,123
S6,18.8791668,13.37500024,53.49999993,431.0318416,30.60000038,5.599999905,25.00000048,23.61666679,14.91666675,23.61666679,13.11666663,746,159,3,98.04348609,437,12,437,14
S9,21.06666684,9.983333747,46.0061467,419.6986481,31.39999962,9.699999809,21.69999981,23.71666686,15.85000038,26.23333327,15.85000038,1411,185,41,43.31920287,506,155,462,155
S5,20.27916678,11.17500003,42.98076935,503.2731841,32.5,6.5,26,25.11666648,13.65000025,26.08333333,13.65000025,772,144,9,76.13814021,391,37,379,37
S10,20.60833323,10.81666636,47.02898419,430.7753799,31.5,8.5,23,23.24999968,15.33333317,26,15.33333317,1070,132,37,37.23596796,368,132,322,132
S11,19.63750001,11.44166621,46.51083932,463.9412486,31.29999924,6.699999809,24.59999943,24.73333327,13.96666654,25.46666686,13.96666654,1004,149,33,43.40329004,360,111,330,111
S12,18.42083337,12.34166698,48.58923988,475.1815744,31,5.599999905,25.4000001,23.83333302,12.60000014,24.35000006,12.60000014,1102,149,46,36.92548333,376,144,354,144
S13,17.69166664,11.84999998,46.47058644,492.502128,30.20000076,4.699999809,25.50000095,23.33333333,11.66666659,23.80000019,11.66666659,1065,121,51,28.64861297,347,162,324,162
S14,17.6291667,10.65833342,44.2254483,489.7469687,29.20000076,5.099999905,24.10000086,23.26666705,11.65000002,23.70000013,11.65000002,1008,112,52,23.58816195,319,167,296,167
S1,16.97499996,11.33333321,45.51539513,485.6930259,28.89999962,4,24.89999962,22.51666641,11.00000008,22.96666654,11.00000008,1052,112,56,23.88274049,317,176,304,176
S2,15.61250005,12.05833336,46.37820437,508.1657175,28.10000038,2.099999905,26.00000048,21.41666683,9.46666654,22.00000016,9.46666654,997,113,47,29.38421215,312,157,304,157
S3,14.3624999,12.19166639,45.83333359,527.063578,27.29999924,0.699999988,26.59999925,20.48333311,8.049999982,20.99999984,8.049999982,930,120,39,35.51335144,320,122,295,122
S4,13.88749999,11.45833314,45.65073101,477.7272243,25.79999924,0.699999988,25.09999925,17.31666676,8.099999974,19.83333333,8.099999974,839,102,47,19.50620557,255,163,227,163