SMD_pid,SMD_origin,SMD_region,SMD_site,SMD_population
GD1P2-5,int,CGD,GD1,GD1P2
GD1P2-6,int,CGD,GD1,GD1P2
GD1P2-7,int,CGD,GD1,GD1P2
GD1P2-8,int,CGD,GD1,GD1P2
GD1P2-9,int,CGD,GD1,GD1P2
GD1P2-10,int,CGD,GD1,GD1P2
GD1P3-1,int,CGD,GD1,GD1P3
GD1P3-2,int,CGD,GD1,GD1P3
GD1P3-3,int,CGD,GD1,GD1P3
GD1P3-4,int,CGD,GD1,GD1P3
GD1P3-5,int,CGD,GD1,GD1P3
GD1P3-6,int,CGD,GD1,GD1P3
GD1P3-7,int,CGD,GD1,GD1P3
GD1P3-8,int,CGD,GD1,GD1P3
GD1P3-9,int,CGD,GD1,GD1P3
GD1P3-10,int,CGD,GD1,GD1P3
GD2P1-1,int,CGD,GD2,GD2P1
GD2P1-2,int,CGD,GD2,GD2P1
GD2P1-3,int,CGD,GD2,GD2P1
GD2P1-4,int,CGD,GD2,GD2P1
GD2P1-5,int,CGD,GD2,GD2P1
GD2P1-6,int,CGD,GD2,GD2P1
GD2P1-7,int,CGD,GD2,GD2P1
GD2P1-8,int,CGD,GD2,GD2P1
GD2P1-9,int,CGD,GD2,GD2P1
GD2P1-10,int,CGD,GD2,GD2P1
GD2P2-1,int,CGD,GD2,GD2P2
GD2P2-2,int,CGD,GD2,GD2P2
GD2P2-3,int,CGD,GD2,GD2P2
GD2P2-4,int,CGD,GD2,GD2P2
GD2P2-5,int,CGD,GD2,GD2P2
GD2P2-6,int,CGD,GD2,GD2P2
GD2P2-7,int,CGD,GD2,GD2P2
GD2P2-8,int,CGD,GD2,GD2P2
GD2P2-9,int,CGD,GD2,GD2P2
GD2P2-10,int,CGD,GD2,GD2P2
GD2P3-1,int,CGD,GD2,GD2P3
GD2P3-2,int,CGD,GD2,GD2P3
GD2P3-3,int,CGD,GD2,GD2P3
GD2P3-4,int,CGD,GD2,GD2P3
GD2P3-5,int,CGD,GD2,GD2P3
GD2P3-6,int,CGD,GD2,GD2P3
GD2P3-7,int,CGD,GD2,GD2P3
GD2P3-8,int,CGD,GD2,GD2P3
GD2P3-9,int,CGD,GD2,GD2P3
GD2P3-10,int,CGD,GD2,GD2P3
GD3P1-1,int,CGD,GD3,GD3P1
GD3P1-2,int,CGD,GD3,GD3P1
GD3P1-3,int,CGD,GD3,GD3P1
GD3P1-4,int,CGD,GD3,GD3P1
GD3P1-5,int,CGD,GD3,GD3P1
GD3P1-6,int,CGD,GD3,GD3P1
GD3P1-7,int,CGD,GD3,GD3P1
GD3P1-8,int,CGD,GD3,GD3P1
GD3P1-9,int,CGD,GD3,GD3P1
GD3P1-10,int,CGD,GD3,GD3P1
GD3P2-1,int,CGD,GD3,GD3P2
GD3P2-2,int,CGD,GD3,GD3P2
GD3P2-3,int,CGD,GD3,GD3P2
GD3P2-4,int,CGD,GD3,GD3P2
GD3P2-5,int,CGD,GD3,GD3P2
GD3P2-6,int,CGD,GD3,GD3P2
GD3P2-7,int,CGD,GD3,GD3P2
GD3P2-8,int,CGD,GD3,GD3P2
GD3P2-9,int,CGD,GD3,GD3P2
GD3P2-10,int,CGD,GD3,GD3P2
GD3P3-1,int,CGD,GD3,GD3P3
GD3P3-2,int,CGD,GD3,GD3P3
GD3P3-3,int,CGD,GD3,GD3P3
GD3P3-4,int,CGD,GD3,GD3P3
GD3P3-5,int,CGD,GD3,GD3P3
GD3P3-6,int,CGD,GD3,GD3P3
GD3P3-7,int,CGD,GD3,GD3P3
GD3P3-8,int,CGD,GD3,GD3P3
GD3P3-9,int,CGD,GD3,GD3P3
GD3P3-10,int,CGD,GD3,GD3P3
JX1P1-1,int,CJX,JX1,JX1P1
JX1P1-2,int,CJX,JX1,JX1P1
JX1P1-3,int,CJX,JX1,JX1P1
JX1P1-4,int,CJX,JX1,JX1P1
JX1P1-5,int,CJX,JX1,JX1P1
JX1P1-6,int,CJX,JX1,JX1P1
JX1P1-7,int,CJX,JX1,JX1P1
JX1P1-8,int,CJX,JX1,JX1P1
JX1P1-9,int,CJX,JX1,JX1P1
JX1P1-10,int,CJX,JX1,JX1P1
JX1P2-1,int,CJX,JX1,JX1P2
JX1P2-2,int,CJX,JX1,JX1P2
JX1P2-3,int,CJX,JX1,JX1P2
JX1P2-4,int,CJX,JX1,JX1P2
JX1P2-5,int,CJX,JX1,JX1P2
JX1P2-6,int,CJX,JX1,JX1P2
JX1P2-7,int,CJX,JX1,JX1P2
JX1P2-8,int,CJX,JX1,JX1P2
JX1P2-9,int,CJX,JX1,JX1P2
JX1P2-10,int,CJX,JX1,JX1P2
JX1P3-1,int,CJX,JX1,JX1P3
JX1P3-2,int,CJX,JX1,JX1P3
JX1P3-3,int,CJX,JX1,JX1P3
JX1P3-4,int,CJX,JX1,JX1P3
JX1P3-5,int,CJX,JX1,JX1P3
JX1P3-6,int,CJX,JX1,JX1P3
JX1P3-7,int,CJX,JX1,JX1P3
JX1P3-8,int,CJX,JX1,JX1P3
JX1P3-9,int,CJX,JX1,JX1P3
JX1P3-10,int,CJX,JX1,JX1P3
JX2P1-1,int,CJX,JX2,JX2P1
JX2P1-2,int,CJX,JX2,JX2P1
JX2P1-3,int,CJX,JX2,JX2P1
JX2P1-4,int,CJX,JX2,JX2P1
JX2P1-5,int,CJX,JX2,JX2P1
JX2P1-6,int,CJX,JX2,JX2P1
JX2P1-7,int,CJX,JX2,JX2P1
JX2P1-8,int,CJX,JX2,JX2P1
JX2P1-9,int,CJX,JX2,JX2P1
JX2P1-10,int,CJX,JX2,JX2P1
JX2P2-1,int,CJX,JX2,JX2P2
JX2P2-2,int,CJX,JX2,JX2P2
JX2P2-3,int,CJX,JX2,JX2P2
JX2P2-4,int,CJX,JX2,JX2P2
JX2P2-5,int,CJX,JX2,JX2P2
JX2P2-6,int,CJX,JX2,JX2P2
JX2P2-7,int,CJX,JX2,JX2P2
JX2P2-8,int,CJX,JX2,JX2P2
JX2P2-9,int,CJX,JX2,JX2P2
JX2P2-10,int,CJX,JX2,JX2P2
JX2P3-1,int,CJX,JX2,JX2P3
JX2P3-2,int,CJX,JX2,JX2P3
JX2P3-3,int,CJX,JX2,JX2P3
JX2P3-4,int,CJX,JX2,JX2P3
JX2P3-5,int,CJX,JX2,JX2P3
JX2P3-6,int,CJX,JX2,JX2P3
JX2P3-7,int,CJX,JX2,JX2P3
JX2P3-8,int,CJX,JX2,JX2P3
JX2P3-9,int,CJX,JX2,JX2P3
JX2P3-10,int,CJX,JX2,JX2P3
JX3P1-1,int,CJX,JX3,JX3P1
JX3P1-2,int,CJX,JX3,JX3P1
JX3P1-3,int,CJX,JX3,JX3P1
JX3P1-4,int,CJX,JX3,JX3P1
JX3P1-5,int,CJX,JX3,JX3P1
JX3P1-6,int,CJX,JX3,JX3P1
JX3P1-7,int,CJX,JX3,JX3P1
JX3P1-8,int,CJX,JX3,JX3P1
JX3P1-9,int,CJX,JX3,JX3P1
JX3P1-10,int,CJX,JX3,JX3P1
JX3P2-1,int,CJX,JX3,JX3P2
JX3P2-2,int,CJX,JX3,JX3P2
JX3P2-3,int,CJX,JX3,JX3P2
JX3P2-4,int,CJX,JX3,JX3P2
JX3P2-5,int,CJX,JX3,JX3P2
JX3P2-6,int,CJX,JX3,JX3P2
JX3P2-7,int,CJX,JX3,JX3P2
JX3P2-8,int,CJX,JX3,JX3P2
JX3P2-9,int,CJX,JX3,JX3P2
JX3P2-10,int,CJX,JX3,JX3P2
JX3P3-1,int,CJX,JX3,JX3P3
JX3P3-2,int,CJX,JX3,JX3P3
JX3P3-3,int,CJX,JX3,JX3P3
JX3P3-4,int,CJX,JX3,JX3P3
JX3P3-5,int,CJX,JX3,JX3P3
JX3P3-6,int,CJX,JX3,JX3P3
JX3P3-7,int,CJX,JX3,JX3P3
JX3P3-8,int,CJX,JX3,JX3P3
JX3P3-9,int,CJX,JX3,JX3P3
JX3P3-10,int,CJX,JX3,JX3P3
JX4P1-1,int,CJX,JX4,JX4P1
JX4P1-2,int,CJX,JX4,JX4P1
JX4P1-3,int,CJX,JX4,JX4P1
JX4P1-4,int,CJX,JX4,JX4P1
JX4P1-5,int,CJX,JX4,JX4P1
JX4P1-6,int,CJX,JX4,JX4P1
JX4P1-7,int,CJX,JX4,JX4P1
JX4P1-8,int,CJX,JX4,JX4P1
JX4P1-9,int,CJX,JX4,JX4P1
JX4P1-10,int,CJX,JX4,JX4P1
JX4P2-1,int,CJX,JX4,JX4P2
JX4P2-2,int,CJX,JX4,JX4P2
JX4P2-3,int,CJX,JX4,JX4P2
JX4P2-4,int,CJX,JX4,JX4P2
JX4P2-5,int,CJX,JX4,JX4P2
JX4P2-6,int,CJX,JX4,JX4P2
JX4P2-7,int,CJX,JX4,JX4P2
JX4P2-8,int,CJX,JX4,JX4P2
JX4P2-9,int,CJX,JX4,JX4P2
JX4P2-10,int,CJX,JX4,JX4P2
JX4P3-1,int,CJX,JX4,JX4P3
JX4P3-2,int,CJX,JX4,JX4P3
JX4P3-3,int,CJX,JX4,JX4P3
JX4P3-4,int,CJX,JX4,JX4P3
JX4P3-5,int,CJX,JX4,JX4P3
JX4P3-6,int,CJX,JX4,JX4P3
JX4P3-7,int,CJX,JX4,JX4P3
JX4P3-8,int,CJX,JX4,JX4P3
JX4P3-9,int,CJX,JX4,JX4P3
JX4P3-10,int,CJX,JX4,JX4P3
JX5P1-1,int,CJX,JX5,JX5P1
JX5P1-2,int,CJX,JX5,JX5P1
JX5P1-3,int,CJX,JX5,JX5P1
JX5P1-4,int,CJX,JX5,JX5P1
JX5P1-5,int,CJX,JX5,JX5P1
JX5P1-6,int,CJX,JX5,JX5P1
JX5P1-7,int,CJX,JX5,JX5P1
JX5P1-8,int,CJX,JX5,JX5P1
JX5P1-9,int,CJX,JX5,JX5P1
JX5P1-10,int,CJX,JX5,JX5P1
JX5P2-1,int,CJX,JX5,JX5P2
JX5P2-2,int,CJX,JX5,JX5P2
JX5P2-3,int,CJX,JX5,JX5P2
JX5P2-4,int,CJX,JX5,JX5P2
JX5P2-5,int,CJX,JX5,JX5P2
JX5P2-6,int,CJX,JX5,JX5P2
JX5P2-7,int,CJX,JX5,JX5P2
JX5P2-8,int,CJX,JX5,JX5P2
JX5P2-9,int,CJX,JX5,JX5P2
JX5P2-10,int,CJX,JX5,JX5P2
JX5P3-1,int,CJX,JX5,JX5P3
JX5P3-2,int,CJX,JX5,JX5P3
JX5P3-3,int,CJX,JX5,JX5P3
JX5P3-4,int,CJX,JX5,JX5P3
JX5P3-5,int,CJX,JX5,JX5P3
JX5P3-6,int,CJX,JX5,JX5P3
JX5P3-7,int,CJX,JX5,JX5P3
JX5P3-8,int,CJX,JX5,JX5P3
JX5P3-9,int,CJX,JX5,JX5P3
JX5P3-10,int,CJX,JX5,JX5P3
AH1P1-1,int,CAH,AH1,AH1P1
AH1P1-2,int,CAH,AH1,AH1P1
AH1P1-3,int,CAH,AH1,AH1P1
AH1P1-4,int,CAH,AH1,AH1P1
AH1P1-5,int,CAH,AH1,AH1P1
AH1P1-6,int,CAH,AH1,AH1P1
AH1P1-7,int,CAH,AH1,AH1P1
AH1P1-8,int,CAH,AH1,AH1P1
AH1P1-9,int,CAH,AH1,AH1P1
AH1P1-10,int,CAH,AH1,AH1P1
AH1P2-1,int,CAH,AH1,AH1P2
AH1P2-2,int,CAH,AH1,AH1P2
AH1P2-3,int,CAH,AH1,AH1P2
AH1P2-4,int,CAH,AH1,AH1P2
AH1P2-5,int,CAH,AH1,AH1P2
AH1P2-6,int,CAH,AH1,AH1P2
AH1P2-7,int,CAH,AH1,AH1P2
AH1P2-8,int,CAH,AH1,AH1P2
AH1P2-9,int,CAH,AH1,AH1P2
AH1P2-10,int,CAH,AH1,AH1P2
AH1P3-1,int,CAH,AH1,AH1P3
AH1P3-2,int,CAH,AH1,AH1P3
AH1P3-3,int,CAH,AH1,AH1P3
AH1P3-4,int,CAH,AH1,AH1P3
AH1P3-5,int,CAH,AH1,AH1P3
AH1P3-6,int,CAH,AH1,AH1P3
AH1P3-7,int,CAH,AH1,AH1P3
AH1P3-8,int,CAH,AH1,AH1P3
AH1P3-9,int,CAH,AH1,AH1P3
AH1P3-10,int,CAH,AH1,AH1P3
AH2P1-1,int,CAH,AH2,AH2P1
AH2P1-2,int,CAH,AH2,AH2P1
AH2P1-3,int,CAH,AH2,AH2P1
AH2P1-4,int,CAH,AH2,AH2P1
AH2P1-5,int,CAH,AH2,AH2P1
AH2P1-6,int,CAH,AH2,AH2P1
AH2P1-7,int,CAH,AH2,AH2P1
AH2P1-8,int,CAH,AH2,AH2P1
AH2P1-9,int,CAH,AH2,AH2P1
AH2P1-10,int,CAH,AH2,AH2P1
AH2P2-1,int,CAH,AH2,AH2P2
AH2P2-2,int,CAH,AH2,AH2P2
AH2P2-3,int,CAH,AH2,AH2P2
AH2P2-4,int,CAH,AH2,AH2P2
AH2P2-5,int,CAH,AH2,AH2P2
AH2P2-6,int,CAH,AH2,AH2P2
AH2P2-7,int,CAH,AH2,AH2P2
AH2P2-8,int,CAH,AH2,AH2P2
AH2P2-9,int,CAH,AH2,AH2P2
AH2P2-10,int,CAH,AH2,AH2P2
AH2P3-1,int,CAH,AH2,AH2P3
AH2P3-2,int,CAH,AH2,AH2P3
AH2P3-3,int,CAH,AH2,AH2P3
AH2P3-4,int,CAH,AH2,AH2P3
AH2P3-5,int,CAH,AH2,AH2P3
AH2P3-6,int,CAH,AH2,AH2P3
AH2P3-7,int,CAH,AH2,AH2P3
AH2P3-8,int,CAH,AH2,AH2P3
AH2P3-9,int,CAH,AH2,AH2P3
AH2P3-10,int,CAH,AH2,AH2P3
AH3P1-1,int,CAH,AH3,AH3P1
AH3P1-2,int,CAH,AH3,AH3P1
AH3P1-3,int,CAH,AH3,AH3P1
AH3P1-4,int,CAH,AH3,AH3P1
AH3P1-5,int,CAH,AH3,AH3P1
AH3P1-6,int,CAH,AH3,AH3P1
AH3P1-7,int,CAH,AH3,AH3P1
AH3P1-8,int,CAH,AH3,AH3P1
AH3P1-9,int,CAH,AH3,AH3P1
AH3P1-10,int,CAH,AH3,AH3P1
AH3P2-1,int,CAH,AH3,AH3P2
AH3P2-2,int,CAH,AH3,AH3P2
AH3P2-3,int,CAH,AH3,AH3P2
AH3P2-4,int,CAH,AH3,AH3P2
AH3P2-5,int,CAH,AH3,AH3P2
AH3P2-6,int,CAH,AH3,AH3P2
AH3P2-7,int,CAH,AH3,AH3P2
AH3P2-8,int,CAH,AH3,AH3P2
AH3P2-9,int,CAH,AH3,AH3P2
AH3P2-10,int,CAH,AH3,AH3P2
AH3P3-1,int,CAH,AH3,AH3P3
AH3P3-2,int,CAH,AH3,AH3P3
AH3P3-3,int,CAH,AH3,AH3P3
AH3P3-4,int,CAH,AH3,AH3P3
AH3P3-5,int,CAH,AH3,AH3P3
AH3P3-6,int,CAH,AH3,AH3P3
AH3P3-7,int,CAH,AH3,AH3P3
AH3P3-8,int,CAH,AH3,AH3P3
AH3P3-9,int,CAH,AH3,AH3P3
AH3P3-10,int,CAH,AH3,AH3P3
SD1P1-1,int,CSD,SD1,SD1P1
SD1P1-2,int,CSD,SD1,SD1P1
SD1P1-3,int,CSD,SD1,SD1P1
SD1P1-4,int,CSD,SD1,SD1P1
SD1P1-5,int,CSD,SD1,SD1P1
SD1P1-6,int,CSD,SD1,SD1P1
SD1P1-7,int,CSD,SD1,SD1P1
SD1P1-8,int,CSD,SD1,SD1P1
SD1P1-9,int,CSD,SD1,SD1P1
SD1P1-10,int,CSD,SD1,SD1P1
SD1P2-1,int,CSD,SD1,SD1P2
SD1P2-2,int,CSD,SD1,SD1P2
SD1P2-3,int,CSD,SD1,SD1P2
SD1P2-4,int,CSD,SD1,SD1P2
SD1P2-5,int,CSD,SD1,SD1P2
SD1P2-6,int,CSD,SD1,SD1P2
SD1P2-7,int,CSD,SD1,SD1P2
SD1P2-8,int,CSD,SD1,SD1P2
SD1P2-9,int,CSD,SD1,SD1P2
SD1P2-10,int,CSD,SD1,SD1P2
SD1P3-1,int,CSD,SD1,SD1P3
SD1P3-2,int,CSD,SD1,SD1P3
SD1P3-3,int,CSD,SD1,SD1P3
SD1P3-4,int,CSD,SD1,SD1P3
SD1P3-5,int,CSD,SD1,SD1P3
SD1P3-6,int,CSD,SD1,SD1P3
SD1P3-7,int,CSD,SD1,SD1P3
SD1P3-8,int,CSD,SD1,SD1P3
SD1P3-9,int,CSD,SD1,SD1P3
SD1P3-10,int,CSD,SD1,SD1P3
SD2P1-1,int,CSD,SD2,SD2P1
SD2P1-2,int,CSD,SD2,SD2P1
SD2P1-3,int,CSD,SD2,SD2P1
SD2P1-4,int,CSD,SD2,SD2P1
SD2P1-5,int,CSD,SD2,SD2P1
SD2P1-6,int,CSD,SD2,SD2P1
SD2P1-7,int,CSD,SD2,SD2P1
SD2P1-8,int,CSD,SD2,SD2P1
SD2P1-9,int,CSD,SD2,SD2P1
SD2P1-10,int,CSD,SD2,SD2P1
SD2P2-1,int,CSD,SD2,SD2P2
SD2P2-2,int,CSD,SD2,SD2P2
SD2P2-3,int,CSD,SD2,SD2P2
SD2P2-4,int,CSD,SD2,SD2P2
SD2P2-5,int,CSD,SD2,SD2P2
SD2P2-6,int,CSD,SD2,SD2P2
SD2P2-7,int,CSD,SD2,SD2P2
SD2P2-8,int,CSD,SD2,SD2P2
SD2P2-9,int,CSD,SD2,SD2P2
SD2P2-10,int,CSD,SD2,SD2P2
SD2P3-1,int,CSD,SD2,SD2P3
SD2P3-2,int,CSD,SD2,SD2P3
SD2P3-3,int,CSD,SD2,SD2P3
SD2P3-4,int,CSD,SD2,SD2P3
SD2P3-5,int,CSD,SD2,SD2P3
SD2P3-6,int,CSD,SD2,SD2P3
SD2P3-7,int,CSD,SD2,SD2P3
SD2P3-8,int,CSD,SD2,SD2P3
SD2P3-9,int,CSD,SD2,SD2P3
SD2P3-10,int,CSD,SD2,SD2P3
SD3P1-1,int,CSD,SD3,SD3P1
SD3P1-2,int,CSD,SD3,SD3P1
SD3P1-3,int,CSD,SD3,SD3P1
SD3P1-4,int,CSD,SD3,SD3P1
SD3P1-5,int,CSD,SD3,SD3P1
SD3P1-6,int,CSD,SD3,SD3P1
SD3P1-7,int,CSD,SD3,SD3P1
SD3P1-8,int,CSD,SD3,SD3P1
SD3P1-9,int,CSD,SD3,SD3P1
SD3P1-10,int,CSD,SD3,SD3P1
SD3P2-1,int,CSD,SD3,SD3P2
SD3P2-2,int,CSD,SD3,SD3P2
SD3P2-3,int,CSD,SD3,SD3P2
SD3P2-4,int,CSD,SD3,SD3P2
SD3P2-5,int,CSD,SD3,SD3P2
SD3P2-6,int,CSD,SD3,SD3P2
SD3P2-7,int,CSD,SD3,SD3P2
SD3P2-8,int,CSD,SD3,SD3P2
SD3P2-9,int,CSD,SD3,SD3P2
SD3P2-10,int,CSD,SD3,SD3P2
SD3P3-1,int,CSD,SD3,SD3P3
SD3P3-2,int,CSD,SD3,SD3P3
SD3P3-3,int,CSD,SD3,SD3P3
SD3P3-4,int,CSD,SD3,SD3P3
SD3P3-5,int,CSD,SD3,SD3P3
SD3P3-6,int,CSD,SD3,SD3P3
SD3P3-7,int,CSD,SD3,SD3P3
SD3P3-8,int,CSD,SD3,SD3P3
SD3P3-9,int,CSD,SD3,SD3P3
SD3P3-10,int,CSD,SD3,SD3P3